,alpha,mu,omega,logposterior
335,0.04304855,1.0330623,0.6481316,-1969.566162109375
336,0.04304855,1.0330623,0.6481316,-1968.859619140625
337,0.04319103,1.0360496,0.6435042,-1968.8619384765625
338,0.042876925,1.0401623,0.6448457,-1968.2347412109375
339,0.042876925,1.0401623,0.6448457,-1968.6026611328125
340,0.043192368,1.04678,0.6402783,-1968.921142578125
341,0.043192368,1.04678,0.6402783,-1968.7064208984375
342,0.04330476,1.0458341,0.6522871,-1968.3760986328125
343,0.04358409,1.0282239,0.6601706,-1969.0828857421875
344,0.044248607,1.0201533,0.6486111,-1974.2113037109375
345,0.044597983,1.0355916,0.6531346,-1970.7825927734375
346,0.04459475,1.0332322,0.65207344,-1970.047607421875
347,0.045895763,1.0348974,0.6551375,-1970.5933837890625
348,0.045895763,1.0348974,0.6551375,-1971.38720703125
349,0.045895763,1.0348974,0.6551375,-1969.04736328125
350,0.045895763,1.0348974,0.6551375,-1970.1925048828125
351,0.045895763,1.0348974,0.6551375,-1970.8724365234375
352,0.045703217,1.0237614,0.64655435,-1970.7156982421875
353,0.045255866,1.0346037,0.6446607,-1971.3155517578125
354,0.044910397,1.035984,0.63049614,-1975.1434326171875
355,0.044910397,1.035984,0.63049614,-1973.1329345703125
356,0.044876903,1.0470692,0.64072114,-1971.2392578125
357,0.04531202,1.0496582,0.64253354,-1972.162353515625
358,0.04519371,1.066954,0.6423557,-1971.5355224609375
359,0.04519371,1.066954,0.6423557,-1971.688232421875
