idx,alpha,mu,omega,loglike
382,0.01,1.28,0.3076923076923077,1.4203992936756355e+21
383,0.01,1.28,0.34615384615384615,1.4203992936756355e+21
384,0.01,1.28,0.38461538461538464,1.4203992936756355e+21
385,0.01,1.28,0.42307692307692313,1.4203992936756355e+21
386,0.01,1.28,0.46153846153846156,1.4203992936756355e+21
387,0.01,1.28,0.5,1.4480694097861998e+21
388,0.01,1.28,0.5384615384615385,1.4203992936756355e+21
389,0.01,1.28,0.576923076923077,1.4203992936756355e+21
390,0.01,1.28,0.6153846153846154,1.4203992936756355e+21
391,0.01,1.28,0.6538461538461539,1.4203992936756355e+21
392,0.01,1.28,0.6923076923076923,1.4480694097861998e+21
393,0.01,1.28,0.7307692307692308,1.4480694097861998e+21
394,0.01,1.28,0.7692307692307693,1.4480694097861998e+21
395,0.01,1.28,0.8076923076923077,1.4203992936756355e+21
396,0.01,1.28,0.8461538461538463,1.4203992936756355e+21
397,0.01,1.28,0.8846153846153847,-inf
398,0.01,1.28,0.9230769230769231,-inf
399,0.01,1.28,0.9615384615384616,-inf
400,0.01,1.36,0.038461538461538464,1.4203992936756355e+21
401,0.01,1.36,0.07692307692307693,1.4203992936756355e+21
402,0.01,1.36,0.11538461538461539,1.4203992936756355e+21
403,0.01,1.36,0.15384615384615385,1.4203992936756355e+21
404,0.01,1.36,0.19230769230769232,1.4203992936756355e+21
405,0.01,1.36,0.23076923076923078,1.4203992936756355e+21
406,0.01,1.36,0.2692307692307693,1.4203992936756355e+21
407,0.01,1.36,0.3076923076923077,1.4203992936756355e+21
408,0.01,1.36,0.34615384615384615,1.4203992936756355e+21
409,0.01,1.36,0.38461538461538464,1.4203992936756355e+21
410,0.01,1.36,0.42307692307692313,1.4203992936756355e+21
411,0.01,1.36,0.46153846153846156,1.4203992936756355e+21
412,0.01,1.36,0.5,1.4203992936756355e+21
413,0.01,1.36,0.5384615384615385,1.4203992936756355e+21
414,0.01,1.36,0.576923076923077,1.4203992936756355e+21
415,0.01,1.36,0.6153846153846154,1.4203992936756355e+21
416,0.01,1.36,0.6538461538461539,1.4480694097861998e+21
417,0.01,1.36,0.6923076923076923,1.4480694097861998e+21
418,0.01,1.36,0.7307692307692308,1.4203992936756355e+21
419,0.01,1.36,0.7692307692307693,1.4203992936756355e+21
420,0.01,1.36,0.8076923076923077,1.4203992936756355e+21
421,0.01,1.36,0.8461538461538463,1.4203992936756355e+21
